,iJO1366,iYO844,iAF987,iYL1228,iMM904,iCN718,iCN900,iEK1008,iJN678,iJN1463,iNF517,iRC1080,iYS854
iJO1366,0.0,1.2591650985709166,3.1317734374148496,0.9197311071809433,10.848179973514162,3.675610057223466,9.938631377886681,0.3313191673196365,4.505439772308324,1.3100515904630616,13.352771722368809,9.877684994445499,15.085690906384773
iYO844,1.2591650985709166,0.0,2.7557189463205023,1.6710418481369351,10.30782357227686,3.2114372524213537,9.447283973324833,1.3336188784659908,4.108088608964467,1.9094311996342432,12.783033088498264,9.346188873925325,15.61453082994952
iAF987,3.1317734374148496,2.7557189463205023,0.0,3.957797270235975,7.71754565871521,0.836791504455431,6.821807977662116,3.371988074811812,1.4675627111831364,4.348801247719421,10.221724139441594,6.749274384009464,18.202410768118547
iYL1228,0.9197311071809433,1.6710418481369351,3.957797270235975,0.0,11.655168117749573,4.422492705176863,10.73318499424999,0.6143957460925783,5.287836918794211,0.7778268287785454,14.161787845138434,10.676943120461283,14.261134346600004
iMM904,10.848179973514162,10.30782357227686,7.71754565871521,11.655168117749573,0.0,7.261563805528589,1.1741605868131235,11.080952775260464,6.406072901733539,12.044694026870873,2.5286226179465348,1.0107397408367478,25.898846386271305
iCN718,3.675610057223466,3.2114372524213537,0.836791504455431,4.422492705176863,7.261563805528589,0.0,6.323053927218721,3.8695121064724995,0.9318463102930604,4.891414849534487,9.77522781883031,6.272677631568309,18.668898134367183
iCN900,9.938631377886681,9.447283973324833,6.821807977662116,10.73318499424999,1.1741605868131235,6.323053927218721,0.0,10.161328106248282,5.449080138393454,11.164497317217856,3.5921456798060896,0.4832099423709897,24.990288144513144
iEK1008,0.3313191673196365,1.3336188784659908,3.371988074811812,0.6143957460925783,11.080952775260464,3.8695121064724995,10.161328106248282,0.0,4.717364910600356,1.1454851460478197,13.588594574819373,10.10524190931912,14.844018682932015
iJN678,4.505439772308324,4.108088608964467,1.4675627111831364,5.287836918794211,6.406072901733539,0.9318463102930604,5.449080138393454,4.717364910600356,0.0,5.7493242703987475,8.926676295782737,5.415370828365754,19.546664420488998
iJN1463,1.3100515904630616,1.9094311996342432,4.348801247719421,0.7778268287785454,12.044694026870873,4.891414849534487,11.164497317217856,1.1454851460478197,5.7493242703987475,0.0,14.53505545108973,11.08269101981582,13.872987040459558
iNF517,13.352771722368809,12.783033088498264,10.221724139441594,14.161787845138434,2.5286226179465348,9.77522781883031,3.5921456798060896,13.588594574819373,8.926676295782737,14.53505545108973,0.0,3.5250062081884237,28.390393198515696
iRC1080,9.877684994445499,9.346188873925325,6.749274384009464,10.676943120461283,1.0107397408367478,6.272677631568309,0.4832099423709897,10.10524190931912,5.415370828365754,11.08269101981582,3.5250062081884237,0.0,24.926325120058237
iYS854,15.085690906384773,15.61453082994952,18.202410768118547,14.261134346600004,25.898846386271305,18.668898134367183,24.990288144513144,14.844018682932015,19.546664420488998,13.872987040459558,28.390393198515696,24.926325120058237,0.0
